studentid,academic_year,att_pct,n_demerits,course_number,term,grade_pct,failed_course
275625,2014,80,65,ENG30,Q2,92,
275625,2014,86,41,ENG30,Q1,79,
275625,2014,86,41,ENG40,Q1,70,
275625,2014,80,65,ENG40,Q2,70,
275625,2014,80,65,MATH22,Q2,56,
275625,2014,86,41,MATH22,Q1,63,
364816,2014,90,5,GYM10,Q1,85,
364816,2014,94,10,GYM10,Q2,82,
364816,2014,94,10,SCI32,Q2,78,
364816,2014,90,5,SCI32,Q1,88,
385641,2014,95,33,MATH73,Q1,91,
385641,2014,72,27,MATH73,Q2,73,
385641,2014,72,27,WRI72,Q2,77,
385641,2014,95,33,WRI72,Q1,96,
657721,2014,66,49,ENG40,Q2,50,
657721,2014,71,39,ENG40,Q1,64,
657721,2014,71,39,GYM30,Q1,76,
657721,2014,66,49,GYM30,Q2,91,
1096209,2014,62,12,MATH20,Q2,50,
1096209,2014,83,33,MATH20,Q1,63,
1108809,2014,100,30,SPAN11,Q1,81,
1108809,2014,100,25,SPAN11,Q2,86,
1119364,2014,78,13,HIST40,Q2,74,
1119364,2014,86,8,HIST40,Q1,85,
1125721,2014,90,38,MATH32,Q2,70,
1125721,2014,95,25,MATH32,Q1,75,
1125721,2014,95,25,SCI30,Q1,71,
1125721,2014,90,38,SCI30,Q2,70,
1142761,2014,90,9,ENG05,Q1,100,
1142761,2014,96,14,ENG05,Q2,93,
1142761,2014,96,14,HIST45,Q2,77,
1142761,2014,90,9,HIST45,Q1,78,
1147041,2014,94,26,FREN30,Q2,80,
1147041,2014,95,26,FREN30,Q1,78,
1149184,2014,81,28,ENG05,Q1,50,
1149184,2014,94,35,ENG05,Q2,50,
1155625,2014,80,17,SCI41,Q2,80,
1155625,2014,90,10,SCI41,Q1,84,
1157776,2014,100,8,MATH40,Q1,72,
1157776,2014,100,7,MATH40,Q2,72,
1183744,2014,98,13,HIST71,Q1,90,
1183744,2014,96,18,HIST71,Q2,88,
1188100,2014,88,41,GYM33,Q1,90,
1188100,2014,98,44,GYM33,Q2,90,
1188100,2014,98,44,SCI20,Q2,76,
1188100,2014,88,41,SCI20,Q1,80,
1196836,2014,90,32,GYM31,Q2,90,
1196836,2014,86,20,GYM31,Q1,70,
1196836,2014,86,20,SCI30,Q1,72,
1196836,2014,90,32,SCI30,Q2,61,
1201216,2014,84,21,GYM31,Q2,95,
1201216,2014,98,14,GYM31,Q1,91,
1238769,2014,79,63,ENG40,Q1,73,
1238769,2014,66,54,ENG40,Q2,50,
1238769,2014,66,54,GYM10,Q2,90,
1238769,2014,79,63,GYM10,Q1,95,
1238769,2014,79,63,MATH42,Q1,100,
1238769,2014,66,54,MATH42,Q2,100,
1243225,2014,83,21,ENG05,Q1,50,
1243225,2014,94,31,ENG05,Q2,100,
1254400,2014,88,34,ART20,Q2,79,
1254400,2014,95,42,ART20,Q1,77,
1265625,2014,88,8,THE13,Q2,75,
1265625,2014,88,20,THE13,Q1,85,
1270129,2014,96,22,HIST41,Q2,81,
1270129,2014,93,19,HIST41,Q1,84,
1285956,2014,92,36,SCI31,Q2,85,
1285956,2014,98,9,SCI31,Q1,81,
1299600,2014,94,5,HIST30,Q2,65,
1299600,2014,95,4,HIST30,Q1,70,
1304164,2014,95,40,ENG05,Q1,50,
1322500,2014,80,76,HIST41,Q2,85,
1322500,2014,88,60,HIST41,Q1,93,
1322500,2014,88,60,SCI31,Q1,84,
1322500,2014,80,76,SCI31,Q2,66,
1368900,2014,98,28,ENG40,Q2,78,
1368900,2014,95,5,ENG40,Q1,83,
1368900,2014,98,28,MATH44,Q2,80,
1368900,2014,95,5,MATH44,Q1,75,
275625,2014,80,65,SCI30,Q2,66,
275625,2014,86,41,SCI30,Q1,79,
364816,2014,90,5,HIST71,Q1,86,
364816,2014,94,10,HIST71,Q2,90,
364816,2014,94,10,WRI72,Q2,87,
364816,2014,90,5,WRI72,Q1,95,
385641,2014,95,33,ENG78,Q1,96,
385641,2014,72,27,ENG78,Q2,58,
463761,2014,95,9,ENG40,Q1,71,
463761,2014,88,11,ENG40,Q2,82,
463761,2014,88,11,SCI31,Q2,82,
463761,2014,95,9,SCI31,Q1,86,
657721,2014,71,39,HIST11,Q1,71,
657721,2014,66,49,HIST11,Q2,60,
657721,2014,66,49,MATH40,Q2,62,
657721,2014,71,39,MATH40,Q1,51,
669124,2014,81,6,ART20,Q1,91,
669124,2014,86,17,ART20,Q2,74,
669124,2014,86,17,ENG40,Q2,77,
669124,2014,81,6,ENG40,Q1,85,
669124,2014,81,6,SCI41,Q1,85,
669124,2014,86,17,SCI41,Q2,50,
1096209,2014,62,12,MATH01,Q2,50,
1096209,2014,83,33,MATH01,Q1,82,
1096209,2014,83,33,RHET10,Q1,80,
1096209,2014,62,12,RHET10,Q2,50,
1102500,2014,92,7,HIST45,Q2,90,
1102500,2014,98,9,HIST45,Q1,86,
1108809,2014,100,25,RHET30,Q2,62,
1108809,2014,100,30,RHET30,Q1,67,
1119364,2014,78,13,ENG05,Q2,83,
1119364,2014,86,8,ENG05,Q1,50,
1125721,2014,90,38,ART20,Q2,77,
1125721,2014,95,25,ART20,Q1,73,
1125721,2014,95,25,ENG05,Q1,50,
1125721,2014,90,38,ENG05,Q2,83,
1125721,2014,90,38,ENG40,Q2,65,
1125721,2014,95,25,ENG40,Q1,70,
1149184,2014,81,28,ENG40,Q1,68,
1149184,2014,94,35,ENG40,Q2,73,
1149184,2014,94,35,GYM33,Q2,84,
1149184,2014,81,28,GYM33,Q1,87,
1149184,2014,81,28,MATH32,Q1,79,
1149184,2014,94,35,MATH32,Q2,84,
1155625,2014,80,17,ENG05,Q2,100,
1155625,2014,90,10,ENG05,Q1,50,
1155625,2014,90,10,ENG45,Q1,89,
1155625,2014,80,17,ENG45,Q2,86,
1155625,2014,80,17,GYM31,Q2,89,
1155625,2014,90,10,GYM31,Q1,90,
1155625,2014,90,10,HIST45,Q1,87,
1155625,2014,80,17,HIST45,Q2,80,
1155625,2014,80,17,SCI51,Q2,90,
1155625,2014,90,10,SCI51,Q1,95,
1172889,2014,90,9,ENG05,Q1,100,
1172889,2014,84,10,ENG05,Q2,95,
1183744,2014,98,13,WRI72,Q1,99,
1183744,2014,96,18,WRI72,Q2,90,
1188100,2014,98,44,HIST25,Q2,50,
1188100,2014,88,41,HIST25,Q1,82,
1205604,2014,98,4,ENG05,Q1,100,
1205604,2014,94,11,ENG05,Q2,100,
1205604,2014,94,11,HIST45,Q2,83,
1205604,2014,98,4,HIST45,Q1,92,
1205604,2014,98,4,MATH45,Q1,86,
1205604,2014,94,11,MATH45,Q2,77,
1221025,2014,98,12,HIST30,Q1,83,
1221025,2014,98,17,HIST30,Q2,88,
1238769,2014,79,63,SPAN40,Q1,68,
1238769,2014,66,54,SPAN40,Q2,50,
1243225,2014,83,21,ART20,Q1,86,
1243225,2014,94,31,ART20,Q2,90,
1243225,2014,94,31,ENG40,Q2,88,
1243225,2014,83,21,ENG40,Q1,72,
1247689,2014,83,37,ENG75,Q1,68,
1247689,2014,82,41,ENG75,Q2,93,
1249924,2014,90,15,ENG05,Q1,100,
1249924,2014,88,30,ENG05,Q2,100,
1249924,2014,88,30,ENG40,Q2,90,
1249924,2014,90,15,ENG40,Q1,62,
