studentid,academic_year,att_pct,n_demerits,course_number,term,grade_pct,failed_course
1075,2014,80,17,GYM31,Q2,89,
1075,2014,90,10,GYM31,Q1,90,
1075,2014,90,10,HIST45,Q1,87,
1075,2014,80,17,HIST45,Q2,80,
1075,2014,80,17,SCI51,Q2,90,
1075,2014,90,10,SCI51,Q1,95,
1083,2014,90,9,ENG05,Q1,100,
1083,2014,84,10,ENG05,Q2,95,
1088,2014,98,13,WRI72,Q1,99,
1088,2014,96,18,WRI72,Q2,90,
1090,2014,98,44,HIST25,Q2,50,
1090,2014,88,41,HIST25,Q1,82,
1098,2014,98,4,ENG05,Q1,100,
1098,2014,94,11,ENG05,Q2,100,
1098,2014,94,11,HIST45,Q2,83,
1098,2014,98,4,HIST45,Q1,92,
1098,2014,98,4,MATH45,Q1,86,
1098,2014,94,11,MATH45,Q2,77,
1105,2014,98,12,HIST30,Q1,83,
1105,2014,98,17,HIST30,Q2,88,
1113,2014,79,63,SPAN40,Q1,68,
1113,2014,66,54,SPAN40,Q2,50,
1115,2014,83,21,ART20,Q1,86,
1115,2014,94,31,ART20,Q2,90,
1115,2014,94,31,ENG40,Q2,88,
1115,2014,83,21,ENG40,Q1,72,
1117,2014,83,37,ENG75,Q1,68,
1117,2014,82,41,ENG75,Q2,93,
1118,2014,90,15,ENG05,Q1,100,
1118,2014,88,30,ENG05,Q2,100,
1118,2014,88,30,ENG40,Q2,90,
1118,2014,90,15,ENG40,Q1,62,
532,2014,81,40,SCI30,Q1,81,
532,2014,70,46,SCI30,Q2,63,
604,2014,90,5,ENG05,Q1,50,
604,2014,94,10,ENG05,Q2,50,
604,2014,94,10,GYM20,Q2,85,
604,2014,90,5,GYM20,Q1,91,
621,2014,95,33,ENG05,Q1,50,
621,2014,72,27,ENG05,Q2,50,
668,2014,92,35,ENG30,Q2,75,
668,2014,86,45,ENG30,Q1,83,
818,2014,81,6,ENG30,Q1,95,
818,2014,86,17,ENG30,Q2,83,
1047,2014,62,12,SCI20,Q2,50,
1047,2014,83,33,SCI20,Q1,73,
1050,2014,92,7,ENG05,Q2,98,
1050,2014,98,9,ENG05,Q1,92,
1050,2014,98,9,SCI50,Q1,92,
1050,2014,92,7,SCI50,Q2,85,
1053,2014,100,25,STUDY45,Q2,91,
1053,2014,100,30,STUDY45,Q1,90,
1054,2014,94,16,ENG40,Q2,76,
1054,2014,95,13,ENG40,Q1,82,
1054,2014,95,13,HIST40,Q1,89,
1054,2014,94,16,HIST40,Q2,84,
1058,2014,78,13,SPAN10,Q2,97,
1058,2014,86,8,SPAN10,Q1,89,
1059,2014,93,9,ENG40,Q1,79,
1059,2014,94,24,ENG40,Q2,73,
1059,2014,94,24,GYM33,Q2,87,
1059,2014,93,9,GYM33,Q1,84,
1059,2014,93,9,SCI41,Q1,79,
1059,2014,94,24,SCI41,Q2,69,
1061,2014,90,38,STUDY45,Q2,91,
1061,2014,95,25,STUDY45,Q1,50,
1065,2014,100,4,THE13,Q1,85,
1065,2014,100,2,THE13,Q2,95,
